Date,Count
2015-11-19,3
2015-11-11,1
2015-11-10,1
2015-11-13,9
2015-11-15,2
2015-11-14,4
2015-11-17,3
2015-11-16,4
2015-12-14,2
2015-12-16,1
2013-01-02,147
2015-12-11,1
2015-12-12,1
2015-12-13,1
2015-12-18,1
2016-09-08,1
2016-09-09,4
2016-09-05,1
2016-09-06,1
2016-09-07,8
2016-09-01,1
2016-09-02,2
2016-09-03,4
2017-04-15,9
2017-04-14,2
2017-04-17,34
2017-04-16,1
2017-04-11,12
2017-04-10,23
2017-04-13,10
2017-04-12,2
2017-04-19,8
2017-04-18,17
2017-08-24,5
2017-08-25,8
2017-08-26,2
2017-03-08,1
2016-05-31,3
2017-08-21,4
2017-08-22,7
2017-08-23,4
2017-03-03,3
2017-03-02,1
2017-03-01,1
2017-08-28,9
2017-03-06,7
2017-03-05,2
2014-08-08,1
2014-08-01,2
2014-08-04,2
2011-05-04,1
2011-05-02,2
2011-05-01,1
2011-05-09,1
2014-11-14,11
2014-11-15,2
2014-11-10,3
2014-11-11,4
2014-11-12,3
2014-11-13,4
2012-03-27,2
2014-11-18,8
2014-11-19,5
2014-12-19,8
2014-12-18,1
2012-04-17,1
2014-12-11,1
2014-12-12,1
2014-12-17,5
2011-10-00,4
2011-10-03,2
2011-10-02,2
2011-10-05,2
2011-10-04,1
2011-10-07,2
2011-10-09,3
2011-10-08,1
2013-10-24,2
2013-10-20,1
2012-07-15,1
2012-07-11,2
2014-08-20,2
2010-09-02,1
2010-09-03,2
2010-09-01,2
2010-09-07,3
2010-09-04,1
2016-06-08,5
2012-12-01,2
2012-12-05,2
2012-12-06,1
2016-06-05,6
2016-06-04,8
2016-06-07,2
2015-05-02,2
2015-05-01,1
2017-06-21,2
2015-05-07,5
2015-05-05,1
2015-05-08,2
2015-01-18,2
2014-04-17,4
2014-04-14,1
2014-04-15,5
2015-01-10,1
2015-01-11,2
2015-01-12,1
2015-01-13,1
2015-01-14,3
2015-01-15,1
2014-04-18,1
2015-01-17,2
2012-11-28,25
2012-11-21,1
2015-11-28,3
2015-11-29,3
2015-11-25,2
2015-11-26,2
2015-11-20,4
2015-11-21,3
2015-11-22,9
2015-11-23,1
2013-05-31,8
2013-01-01,21
2015-12-02,2
2015-12-01,4
2015-12-07,1
2015-12-06,3
2015-12-05,3
2013-01-04,13
2014-03-08,1
2014-03-09,1
2015-02-21,5
2014-03-04,2
2014-03-07,1
2010-01-03,2
2010-01-01,1
2016-10-06,1
2016-10-03,6
2016-10-01,1
2017-04-28,39
2016-09-12,3
2016-09-11,4
2016-09-10,2
2016-09-17,11
2012-03-29,1
2016-09-14,2
2017-04-20,3
2017-04-21,2
2012-03-26,1
2010-05-16,1
2017-04-24,6
2017-04-25,12
2012-03-22,1
2010-05-12,1
2016-05-09,1
2016-05-01,1
2017-08-31,5
2017-08-30,15
2016-05-05,3
2016-05-07,1
